text,label
"Cricket: England players' dismay England's players claim to have been used as ""political pawns"" over the Zimbabwe tour crisis.",Politics
"Winter Weather Outlook Mixed, El Nino Looms (Reuters) Reuters - Winter will be warmer than normal in\the U.S. Western and Plains states and colder than usual in the\Southeast and mid-Atlantic regions, but the return of El Nino\is making it hard for forecasters to hazard a guess for much of\the country, meteorologists said on Wednesday.",Tech
"Florida voters may have plenty time to elect next US president (AFP) AFP - Florida elections supervisors want to give voters several days to elect candidates, a proposal offered after early voting in last month's presidential election apparently helped avoid a repeat of the 2000 election debacle.",Politics
Pension plan disclosures urged Senator Edward M. Kennedy yesterday said he would press US pension plans to disclose proxy votes on the stocks they hold -- as mutual funds must now do -- in response to a government report calling for greater transparency in pensions affecting 100 million workers and \$4 trillion of assets.,Business
"Federal tax staff strike over wages OTTAWA -- About 8,000 employees of the federal tax agency walked off the job yesterday in Ontario and BC, including 280 in London, leaving public phone queries unanswered and federal revenue cheques uncashed.",Business
"China Pledges Stable Policies BEIJING (Reuters) - Chinese leaders closed a key economic meeting on Sunday with pledges to maintain stable fiscal and monetary policies in 2005 and keep a tight lid on fixed-asset investment, state radio said.",Politics
"Turnaround Progress Seen, 2 Executives to Leave Ford Two of the Ford Motor Company #39;s most senior executives retired on Thursday in a sign that the company #39;s deep financial crisis has abated, though serious challenges remain.",Business
"US feeling the heat at climate conference BUENOS AIRES -- Two sets of Americans have come here to talk global warming: the United States, opposed to controls on carbon emissions, and a bloc of united states, from Maine to Delaware, that plan to impose them.",Politics
"Heartbeat away from third term TONY Blair yesterday entered hospital for heart surgery, rounding off one of his most dramatic and stressful weeks in politics. Making a sudden and unexpected appearance on national TV, Britain #39;s Prime Minister",Politics
"Swiss Blocks Accounts in Oil Co. Probe (AP) AP - Swiss justice authorities have blocked bank accounts containing #36;100 million in an investigation of an alleged bribery scandal tied to a subsidiary of Halliburton Co., the oil services company formerly headed by U.S. Vice President Dick Cheney.",Politics
EU judge considers impact of Microsoft dropouts A European Union judge has summoned all sides for a closed meeting today to consider how to handle the decision by two major opponents of Microsoft to drop out of an antitrust case against the company.,Business
"Sun Microsystems Sets Sights on Low-End Market By MATTHEW FORDAHL SAN JOSE, Calif. (AP) -- After years of battling Microsoft Corp...",Tech
"Salvation Army sees donation totals down Christmas may be the season for giving, but the Lancaster Salvation Army will not be receiving as much in donations as in past years.",Business
"Spyware Legislation To Take Effect Jan. 1 Some experts doubt whether the California law will have much impact on illegal spyware activity. By George V. Hulme. A new California law aimed at curbing spyware, software applications that surreptitiously",Tech
"LG Handset Receives Digital Video (NewsFactor) NewsFactor - LG Electronics, the South Korea-based wireless handset manufacturer, has launched the first terrestrial DMB (digital multimedia broadcast) cell phone.",Tech
"Russian Government Approves Kyoto, Sends to Parliament (Reuters) Reuters - Russia's government approved the Kyoto\Protocol on Thursday and sent the climate change pact to the\State Duma, the lower house of parliament, for ratification.",Politics
"Cadbury Says Annual Results to Be at Low End of Range (Update4) Cadbury Schweppes Plc, the maker of 7Up and Dr Pepper, said 2004 earnings will be at the low end of forecasts as demand in the US and Europe stagnates, days after Coca-Cola Co.",Business
"Iraqi president appeals for aid FAZ Weekly. Iraqi President Ghazi Yawer made all of the important political stops in Berlin on Thursday, seeing the German president, the development minister and finally the chancellor.",Politics
"Brazilian Soldier Wounded in Haiti Unrest &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Joseph Guyler Delva&lt;/p&gt;&lt;p&gt; GONAIVES, Haiti (Reuters) - A Brazilian soldier with theU.N. peacekeeping force in Haiti was shot and wounded Saturdaywhen peacekeepers and local police faced gunfire in a crackdownon armed gangs in the Haitian capital.&lt;/p&gt;",Politics
"Delta Up on Financing, Analyst Upgrades CHICAGO (Reuters) - Shares of Delta Air Lines Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=DAL.N target=/stocks/quickinfo/fullquote""&gt;DAL.N&lt;/A&gt; jumped 21 percent on Tuesday, as Wall Street analysts said the possibility of a near-term bankruptcy diminished with the carrier securing additional financing and intensifying concession talks with its pilots.",Business
"Angels agree to deal with Byrd, trade Ramon Ortiz to Reds ANAHEIM - The Anaheim Angels agreed to a \$4.5 million, one-year contract with right-hander Paul Byrd on Tuesday, and traded pitcher Ramon Ortiz to the Cincinnati Reds for a minor league pitcher.",Sports
"Mets sign Pedro for \$53M The Braves will have to face Pedro Martinez regularly for the next four years. If the former Boston Red Sox right-hander with the questionable shoulder can stay healthy, that is.",Sports
Palestinian leadership hinges on Arafat fortune: Israel Israeli Foreign Minister Silvan Shalom says any debate among Palestinians as to who will lead in the absence of the ailing Yasser Arafat is related to Mr Arafat #39;s personal fortune.,Politics
"Newcastle, Schalke 04 and Dnipro qualify for last 32 Last season #39;s UEFA Cup semi-finalists Newcastle United posted their third consecutive Group D win by thrashing French side Sochaux 4-0 to march into the last 32on Thursday.",Sports
"FCC frees VOIP service from state regulation A VOIP (voice over IP) service offered by Vonage Holdings Inc. is not subject to the public utility regulations of individual U.S. states, the U.S. Federal Communications Commission (FCC) declared Tuesday.",Tech
"AS Roma needs success against Inter after disastrous start to &lt;b&gt;...&lt;/b&gt; After sliding out of contention in the Champions League and opening its Serie A campaign with two defeats in four games, AS Roma and its new coach, Luigi Del Neri, desperately need points against archrival Inter Milan at Stadio Olimpico Sunday",Sports
BHP Billiton wins 3.2 billion dollar iron ore deal with Chinese &lt;b&gt;...&lt;/b&gt; SYDNEY : BHP Billiton said it had struck a 3.2 billion US dollar deal to supply four Chinese steel companies with iron ore over the next decade.,Business
US OKs Emergency Oil Loan to 4th Refinery WASHINGTON - The Energy Department said last week it has approved another emergency oil loan to a refining company to make up for crude supplies disrupted by Hurricane Ivan.,Business
Cazenove Loses Independence with JPM Deal UK brokerage Cazenove effectively gave up 181 years of independence on Friday when it sealed a joint venture with JP Morgan Chase amp; Co.,Business
"Backward drawings may have doomed Genesis The NASA spacecraft that smashed into the Utah desert last month while bringing home fragile samples of the sun may have been doomed by engineering drawings that had been done backwards, an investigating board said Friday.",Tech
"Use Shuttle To Fix Hubble, NASA Is Told The space shuttle should be used to service the Hubble Space Telescope and can do the job without posing unacceptable risks to the astronauts, NASA's leadership was told Wednesday.&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2"" color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/b&gt;&lt;/font&gt;",Tech
"Giants Topple Padres Jerome Williams pitches seven strong innings in his first start in two months and San Francisco jumps back into a tie for the wild-card lead by beating San Diego, 4-1.",Sports
"Prince of Persia: Golden Within November 19, 2004 - Ubisoft announced today that the Xbox and PlayStation 2 versions of Prince of Persia: Warrior Within have gone gold.",Tech
"Okocha Calls for Caution, As Allardyce Celebrates First they beat Liverpool 1-0, then they were held to a 2-2 draw by Manchester United and last weekend, they ended Arsenal #39;s 100 Premiership winning record, when they held their nerves to pull a shock 2-2 draw at Highbury, home of Arsenal.",Sports
"GMail Fighting Spam with Oomph! GMail Fighting Spam with Oomph!\\GMail is already the seventh largest (1 month back) email service with roughly a million users. As and when it goes public, signups will increase exponentially. It will probably relegate Yahoo! Mail to the third spot and occupy the second spot by November next year (with ...",Tech
"Sharapova Tops Venus in Swisscom Challenge (AP) AP - Wimbledon champion Maria Sharapova needed just more than an hour to defeat Venus Williams 6-3, 6-4 in the quarterfinals of the Swisscom Challenge on Friday.",Sports
"Naughty, nice are irrelevant if Santa can #39;t find any iPods You could spend all weekend exploring retail stores in Wichita, and you still probably won #39;t find it. The Dora the Explorer talking dollhouse is sold out.",Tech
"24 Feared Killed As Typhoon Meari Batters Japan Tokyo, Sept. 30 (NNN): At least 24 people have been killed or are missing after a powerful tropical storm struck south-western Japan.",Politics
"South Africa pushes ahead with its bid for a GP South Africa is progressing with its plans to host a round of the F1 World Championship from 2007 onwards. South Africa last held a F1 grand prix in 1993, which was won by Alain Prost, and is now keen to return to the F1 fold.",Sports
"14 arrested for anti-government rallies in Jeddah and Riyadh JEDDAH/RIYADH: Security forces detained about 14 people on Thursday in Saudi Arabias main cities of Jeddah and Riyadh, deploying in force to confront demonstrations called by a dissident Islamist group against the strictly conservative regime.",Politics
"Stocks Rise; Healthcare Sector Climbs NEW YORK (Reuters) - U.S. stocks rose on Wednesday, a day after a sharp sell-off, as value investors picked up shares in lagging sectors such as healthcare.",Business
"Elephant Dung Helps Track Smuggled Ivory - Study (Reuters) Reuters - Using elephant dung and skin\samples, researchers said they were able to make a map of\elephant DNA that could help track down ivory poachers.",Tech
"BT will switch its call center network to VoIP One challenge will be to link the call center with back-office databases of CRM applications so that agents can see, for example, the identity of the caller and the history of their account.",Tech
"Friction Grows Between Japan and China (AP) AP - Despite a thriving economic partnership, political ties between Japan and China are at their lowest ebb in years. The two countries are locked in disputes over World War II history, natural gas exploration and now a bold incursion by a Chinese nuclear submarine.",Politics
"NHL Cancels All-Star Game; is Season Next? In another sign the NHL season is slipping away, the league canceled its All-Star game Wednesday because of the lockout. No regular-season games have been played since the season was scheduled to begin Oct.",Sports
U.S. to Loan Strategic Reserve Crude Oil NEW YORK (Reuters) - Two refiners will borrow crude oil from the national emergency reserve to replace output lost due to Hurricane Ivan and another oil major may be next to tap the stockpile as prices near all-time highs.,Business
"Eggs #39;repaired #39; with DNA A fertility technique that repairs a woman #39;s faulty eggs using DNA transferred from elsewhere in her body has led to the births of 20 children, scientists have revealed.",Tech
"Jazz fails to unlock Key Twenty-four hours earlier, Danny Fortson was bickering his way toward a couple of technical fouls and an ejection, which he admitted cost his team a victory.",Sports
"Lanxess Moving Texas Factory to China (AP) AP - Lanxess Corp., a chemicals and polymers unit of Bayer Corp., plans to move one of its factories from Texas to eastern China's Shandong province, state media reported Wednesday.",Politics
Woods Unsure About Tee Time With Injury (AP) AP - Defending champion Tiger Woods said Wednesday he injured his back sleeping on a plane last week and will not know until before his tee time whether he can play in the American Express Championship.,Sports
"Veritas buys KVS, plugs archive hole Underlining the importance of message archiving software, Veritas Software Corp. has announced plans for a \$224 million cash acquisition of KVS Software Ltd.",Tech
"Alleged vigilantes show videos of US, UN contacts KABUL, Afghanistan -- Three Americans accused of torturing prisoners at a private jail played videos at their trial yesterday showing a top Afghan official pledging his full support to the alleged vigilantes, then sending his security force on a raid with them.",Politics
"Exchanges businesses, cash for 61.4 million shares LOS ANGELES (CBS.MW) -- Clorox Corp. said late Wednesday it will buy back Henkel KGaA #39;s 29 percent stake in the company in exchange for several businesses and \$2.",Business
"U.S. Job Growth Weaker Than Expected WASHINGTON (Reuters) - U.S. employers hired just 96,000 workers in September, the government said on Friday in a weak jobs snapshot, the final one ahead of presidential elections that also fueled speculation about a pause in interest-rate rises.",Business
"Astros live wild life HOUSTON -- Phil Garner savored the taste of champagne, the smell of his cigar and the wild celebration going on in the Houston Astros' clubhouse.",Sports
NBA Wrap: Lakers Rally to Beat Rockets (Reuters) Reuters - Lamar Odom supplemented 20 points with\13 rebounds and Kobe Bryant added 19 points to overcome a big\night from Yao Ming as the Los Angeles Lakers ground out an\84-79 win over the Rockets in Houston Saturday.,Sports
"Madrid to finish bomb hoax match MADRID (AFP) - Real Madrid and Real Sociedad will play out the remaining six minutes of Sunday #39;s match, which was interrupted by a bomb hoax purporting to come from ETA, on January 5. The clubs were drawing 1-1 when police evacuated 70,000 spectators.",Sports
"NCAA Game Summary - Stanford Vs. Michigan State Auburn Hills, MI -- Paul Davis poured in a game-high 20 points as 20th-ranked Michigan State rolled over Stanford, 78-53, at the Palace of Auburn Hills.",Sports
"In the long run, humans prevail To err may be human, but so, too, may be the ability to run. Specifically, the ability to run long distances across the African savannah may have given human ancestors an evolutionary advantage",Tech
Karzai ahead after first million votes counted in Afghan election &lt;b&gt;...&lt;/b&gt; The chief rival of interim President Hamid Karzai said he has evidence of organized fraud in Afghanistan #39;s election and accused the UN-Afghan electoral commission on Monday of ignoring his complaints.,Politics
"Stock Markets Fall as Oil Nears \$50 a Barrel NEW YORK, Sept. 22 -- A surge in oil prices and a disappointing earnings report from Morgan Stanley were cited as factors in significant stock market losses Wednesday.",Business
Cricket: Warne back to face NZ Australia's Darren Lehmann and Shane Warne return to take on New Zealand.,Politics
"Apple Fights Back Against RealNetworks No longer only a war of words, Apple Computer Inc. has quietly started to block the technology that RealNetworks Inc. created to get around the iPod music player #39;s copy-protection armor.",Tech
"Two Chinese engineers feared kidnapped in Pakistani tribal region DERA ISMAIL KHAN, Pakistan - Two Chinese engineers went missing Saturday in a remote Pakistani tribal region near the border with Afghanistan and may have been kidnapped, police said.",Politics
Fergie may rest Ruud until European campaign Alex Ferguson is willing to write Ruud van Nistelrooy out of Manchester Uniteds Premiership title push for the next two months to ensure he is ready for their assault on Europe.,Sports
"British house prices record sharpest fall in 9 years House prices in Britain fell at their steepest pace in nine years in the three months to September,adding to evidence that the property market is cooling and decreasing the possibility",Business
"Al-Sadr Calls on Militia to End Uprising BAGHDAD, Iraq - Rebel cleric Muqtada al-Sadr wants his followers to end their uprising against U.S. and Iraqi forces while he considers forming a political movement, senior al-Sadr officials said Monday...",Politics
"Cubs, Marlins Split The Cubs briefly lead the NL wild-card standings after winning the first game of a doubleheader with the Marlins, but lose the sceond.",Sports
Bears' Ogunleye Has Tear in Ankle Ligament (AP) AP - Chicago Bears defensive end Adewale Ogunleye has a small tear in the ligament of his right ankle and won't play Sunday against Tampa Bay.,Sports
"German welfare rallies escalate Eastern Germany sees more mass protests over welfare cuts, with smaller rallies in western cities.",Business
"China Aviation Oil Says Still in Business The main supplier of jet fuel to China is continuing to do business despite a criminal investigation of its US\$550 million (euro414 million) in losses on derivative trading, the company said.",Business
"Dozens More Killed In New Fighting In Iraq American and Iraqi forces once again fought with Insurgents in the cities of Falluja and Tall #39;Afar, killing dozens of Iraqis in airstrikes and gunbattles.",Politics
"USC barely holds off California Rodgers, who matched an NCAA record by completing 23 consecutive passes, threw an incomplete pass on 4th-and-goal with 1:16 left as No.",Sports
"American, three other foreigners kidnapped in Baghdad; Baghdad &lt;b&gt;...&lt;/b&gt; Militants kidnapped an American and three other foreigners in a bloody assault on their office in the capital Monday, and gunmen assassinated",Politics
"Gaming Godzillas Prepare for Battle (washingtonpost.com) washingtonpost.com - Let the games begin. Not the Olympics again, but the all-out battle between video game giants Sony Corp. and Nintendo Co. Ltd. The two Japanese companies are rolling out new gaming consoles, but Nintendo has beaten Sony to the punch by announcing an earlier launch date for its new hand-held game player.",Tech
Update 1: Stewart Asks Court to Overturn Conviction Lawyers for Martha Stewart told a federal appeals court that she suffered a quot;fundamentally unfair quot; trial at the hands of prosecutors who incorrectly suggested she was accused of insider trading.,Business
Patriots not getting ahead of themselves Its become a familiar mantra: One game at a time. One week at a time. One game at a time . . . Todays 1 pm game against the Seattle Seahawks at Gillette,Sports
Brooks Returns Star sophomore linebacker Ahmad Brooks is back with the first string after a curious demotion prior to the season-opening win over Temple last Saturday.,Sports
"Embarcadero enhances SQL Server backup Embarcadero Technologies on Monday is unveiling its DBArtisan Workbench 8.0 database administration tool, featuring enhanced backup capabilities for Microsoft SQL Server databases and support for performance metrics in the Oracle10g database.",Tech
"Nigeria Militia Leader Says Deal Reached ABUJA, Nigeria Sept. 29, 2004 - The leader of militia fighters threatening to widen a battle for control of Nigeria #39;s oil-rich south said Wednesday he agreed to a tentative deal with President Olusegun Obasanjo",Politics
"NY Coroner Cites Drugs, Disease in Caminiti Death An overdose of cocaine contributed to the heart attack that killed former Houston Astros third baseman and National League Most Valuable Player Ken Caminiti on Oct. 10, according to autopsy results made public on Monday.",Sports
"Kennedy set to make swift million from clearing out the clutter CAROLINE KENNEDY is staging the ultimate yard-sale. She is clearing out paintings, furniture, horseriding gear and a mysterious photograph of a nude woman by a swimming pool from the attics and cupboards of several family homes.",Tech
"Vauxhall Ellesmere Port Workers Facing Lay Offs LONDON, October 19 /PRNewswire/ -- Workers at the Vauxhall plant in Ellesmere Port, Merseyside are facing lay off tomorrow following strike action taken at the Bochum plant in Germany over the job losses announced there last week.",Business
"Wells finalizes deal while Red Sox ponder rotation With Pedro Martinez headed to the New York Mets and Curt Schilling #39;s recovery from ankle surgery taking longer than expected, the Boston #39;s newest acquisition might start the season opener against his former team at Yankee Stadium.",Sports
"French negotiator claims hostage releases close PARIS, Sept 29 (AFP) - Paris on Wednesday remained tight-lipped about the fate of two French journalists abducted over a month ago in Iraq following the release of up to 10 hostages there, including two Italian female aid workers.",Politics
Applied Materials Signals Caution Applied Materials (AMAT:Nasdaq - news - research) posted sharply higher net income in its fiscal fourth quarter but said it had seen demand decelerate recently.,Business
"IOC urges Beijing to get ready for 2008 Determined to avoid a repeat of the construction delays that threatened the Athens Games, Olympic officials arrived in Beijing on Wednesday.",Sports
"Aston Villa (A) Tue 28 Dec Sir Alex Ferguson is asking his players to use the next five weeks to lay the foundations for a New Year title push. United play six league matches between now and the turn of the year, and Ferguson wants",Sports
"quot;Road-map quot; peace plan for Gaza Strip The Israeli government does not intend to honour the US-backed road map to peace in the Middle East once it has completed a planned pullout from Gaza, an Israeli newspaper reported today.",Politics
"Davenport Won't Decide on Retirement Now (AP) AP - All in due time, Lindsay Davenport will decide whether she wants retire. Only right now is not that time.",Sports
"Oracle to 'Oversupport' PeopleSoft Customer -Ellison SAN FRANCISCO (Reuters) - Business software maker Oracle Corp. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=ORCL.O qtype=sym infotype=info qcat=news""&gt;ORCL.O&lt;/A&gt; will do everything it can to support PeopleSoft Inc. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=PSFT.O qtype=sym infotype=info qcat=news""&gt;PSFT.O&lt;/A&gt; customers, who are vital to the success of Oracle's proposed \$9.2 billion takeover of PeopleSoft, Oracle Co-Founder and Chief Executive Larry Ellison said on Wednesday.",Tech
American Aaron Peirsol's Gold Restored on Appeal ATHENS (Reuters) - Aaron Peirsol was awarded gold in the men's 200 meters backstroke at the Athens Olympics on Thursday after winning an appeal against his disqualification then surviving a protest from the British and Austrian teams.,Sports
"Palestinian #39;collaborator #39; killed: Hamas A Palestinian accused of collaborating with Israel over the assassination of Hamas #39; spiritual leader Sheikh Ahmed Yassin in March was killed today, the armed wing of the militant Islamist group said.",Politics
Trial Letdown Hits Possis Medical Shares of device maker Possis Medical (Nasdaq: POSS) are down 38 to \$19.20 after the company cut its fiscal 2005 earnings outlook after a trial involving its AngioJet blood clot treatment yielded disappointing results.,Business
"2 Utah State Basketball Players Suspended (AP) AP - Utah State indefinitely suspended basketball players Jason Williams and Marques Crane on Sunday for a violation of team rules, and coach Stew Morrill said the two may be dismissed from the team.",Sports
"Francis Makes Magic in Opener Steve Francis completed a spectacular debut with a driving layup just before the final horn Monday night, leading the Magic to a 93-92 victory over the Milwaukee Bucks in the NBA season opener for both teams.",Sports
"Iran Jails More Journalists and Blocks Web Sites Iran has moved against pro-democracy Web sites, blocking hundreds of sites in recent months and making several arrests.",Tech
"Bengals finish strong BALTIMORE -- First, Carson Palmer tossed the ball all over the field during his finest day in the NFL.",Sports
"Sweeping giants: US dominates 200 A disruptive Greek chorus of whistles, chanting, and catcalls could not derail a crowd-silencing American sweep in the men #39;s 200-meter dash at the Olympic Games last night.",Sports
"Regulation of Credit Rating Examined Expressing impatience with the Securities and Exchange Commission, lawmakers said in a hearing yesterday that they will act to force stronger oversight of the influential credit rating business if the agency doesn't soon move on its own.",Business
"Google, BellSouth Ink Local Advertising Deal (Reuters) Reuters - In a bid to further expand its\reach, Google Inc. said on Thursday it authorized BellSouth\Corp.'s online Yellow Pages unit RealPages.com to sell\Google's Web search ads to small and mid-sized businesses in\the southeastern United States.",Tech
"Modern technology for an ancient sport One sport that relies increasingly on GPS technology is horseback riding ( quot;Space-age sport, quot; Aug. 16). Horseback riders who practice trail riding for pleasure, or the more demanding cross country sports, are beginning to use GPS in large numbers.",Business
"Intel Launches Next-Gen Chip After 10 years in the making and multiple delays, Intel released its state-of-the-art 64-bit Itanium microprocessor on Tuesday. The microprocessor, which is designed for servers and workstations, is based",Tech
"Spurred by Illness, Indonesians Lash Out at U.S. Mining Giant Newmont Mining Corporation, the world's biggest gold producer, has been trailed by allegations of pollution.",Tech
"Marsh amp; McLennan to lay off 3,000 workers as it deals with fallout &lt;b&gt;...&lt;/b&gt; NEW YORK -- Marsh amp; McLennan, the nation #39;s largest insurance brokerage, said Tuesday it will lay off 3,000 employees, or about 5 percent of its work force, because of fallout from a bid-rigging scandal that has engulfed the insurance industry.",Business
"US Forces Attack Iraqi Insurgents in Fallujah, Samarra Another US air strike on the Iraqi rebel-held city of Fallujah has killed at least five people and wounded 11 others. American and Iraqi forces also are pressing ahead with an offensive in the city of Samarra",Politics
"U.S. Job Cuts at 8-Month High in Sept. NEW YORK (Reuters) - U.S. planned job cuts soared to an eight-month high in September while new hiring rose only slightly, a report said on Tuesday.",Business
